122.114.131.154:4000,#genre#
江苏卫视,http://112.255.253.148:9001/hls/19/index.m3u8
北京卫视,http://112.255.253.148:9001/hls/20/index.m3u8
安徽卫视,http://112.255.253.148:9001/hls/21/index.m3u8
天津卫视,http://112.255.253.148:9001/hls/22/index.m3u8
辽宁卫视,http://112.255.253.148:9001/hls/23/index.m3u8
东南卫视,http://112.255.253.148:9001/hls/25/index.m3u8
湖北卫视,http://112.255.253.148:9001/hls/26/index.m3u8
广东卫视,http://112.255.253.148:9001/hls/27/index.m3u8
黑龙江卫视,http://112.255.253.148:9001/hls/28/index.m3u8
重庆卫视,http://112.255.253.148:9001/hls/29/index.m3u8
江西卫视,http://112.255.253.148:9001/hls/30/index.m3u8
河北卫视,http://112.255.253.148:9001/hls/31/index.m3u8
四川卫视,http://112.255.253.148:9001/hls/32/index.m3u8
河南卫视,http://112.255.253.148:9001/hls/33/index.m3u8
广西卫视,http://112.255.253.148:9001/hls/34/index.m3u8
QTV-1高清,http://112.255.253.148:9001/hls/35/index.m3u8
QTV-2高清,http://112.255.253.148:9001/hls/36/index.m3u8
QTV-3高清,http://112.255.253.148:9001/hls/37/index.m3u8
QTV-4高清,http://112.255.253.148:9001/hls/38/index.m3u8
少儿动画,http://112.255.253.148:9001/hls/24/index.m3u8
QTV-6教育,http://112.255.253.148:9001/hls/40/index.m3u8
CHC动作电影,http://112.255.253.148:9001/hls/39/index.m3u8

60.174.86.121:5080,#genre#
Q 亳州新闻,http://60.174.86.121:5080/hls/2/index.m3u8
Q亳州农村,http://60.174.86.121:5080/hls/3/index.m3u8

120.27.63.14:30006,#genre#
CCTV1-综合+,http://120.27.63.14:30006/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经+,http://120.27.63.14:30006/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺+,http://120.27.63.14:30006/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际+,http://120.27.63.14:30006/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育+,http://120.27.63.14:30006/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影+,http://120.27.63.14:30006/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7国防军事,http://120.27.63.14:30006/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧+,http://120.27.63.14:30006/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9-纪录+,http://120.27.63.14:30006/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10-科教+,http://120.27.63.14:30006/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11-戏曲+,http://120.27.63.14:30006/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法+,http://120.27.63.14:30006/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻+,http://120.27.63.14:30006/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿+,http://120.27.63.14:30006/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐+,http://120.27.63.14:30006/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+体育赛事+,http://120.27.63.14:30006/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17-农业农村+,http://120.27.63.14:30006/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://120.27.63.14:30006/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
河北都市,http://120.27.63.14:30006/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
河北影视,http://120.27.63.14:30006/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
