======================================================================
IPTV 酒店源流量测试报告 (2026-04-02 21:26:43)
======================================================================
服务器 (IP:Port)             | 频道名称                 | 平均码率       | 稳定性
122.114.131.154:4103      | 农民频道                 | 0.57   Mbps | 100%
122.226.23.150:8888       | CCTV3                | 7.97   Mbps | 0%
122.226.23.150:8888       | CCTV8电视剧             | 8.59   Mbps | 0%
122.226.23.150:8888       | CCTV8                | 8.57   Mbps | 0%
123.129.70.178:9901       | 北京卫视                 | 0.92   Mbps | 100%
123.13.245.230:9901       | 湖北卫视                 | 7.94   Mbps | 0%
123.13.245.230:9901       | 江苏卫视                 | 7.88   Mbps | 0%
123.13.245.230:9901       | CCTV14少儿             | 7.99   Mbps | 0%
123.130.84.106:8154       | 陕西卫视                 | 0.09   Mbps | 100%
123.130.84.106:8154       | CCTV1综合              | 0.05   Mbps | 100%
123.130.84.106:8154       | 东南卫视                 | 0.12   Mbps | 100%
123.14.89.116:8888        | 深圳卫视                 | 9.42   Mbps | 0%
123.14.89.116:8888        | CCTV3                | 9.28   Mbps | 0%
124.228.160.14:9901       | 湖南电影                 | 0.47   Mbps | 100%
124.228.160.14:9901       | CCTV11戏曲             | 0.37   Mbps | 100%
124.228.160.14:9901       | CCTV9纪录              | 0.35   Mbps | 100%
124.88.238.50:81          | CCTV2财经              | 5.96   Mbps | 0%
124.88.238.50:81          | CCTV11戏曲             | 5.78   Mbps | 0%
124.88.238.50:81          | CCTV1                | 6.05   Mbps | 57%
124.88.238.50:82          | CCTV1                | 5.94   Mbps | 0%
124.88.238.50:82          | CCTV5+体育赛事           | 5.81   Mbps | 0%
124.88.238.50:82          | CCTV3                | 5.85   Mbps | 78%
125.40.199.223:8092       | CCTV5+体育赛事           | 4.06   Mbps | 0%
125.40.199.223:8092       | CCTV3综艺              | 4.41   Mbps | 23%
125.40.199.223:8092       | 新疆卫视                 | 2.73   Mbps | 0%
125.42.148.11:9901        | CCTV5体育              | 2.89   Mbps | 44%
125.42.148.11:9901        | 东方卫视                 | 2.58   Mbps | 16%
144.0.23.162:8085         | 6                    | 9.26   Mbps | 91%
144.0.23.162:8085         | 15                   | 9.08   Mbps | 84%
144.0.23.162:8085         | 12                   | 9.26   Mbps | 93%
144.0.23.230:8085         | 20                   | 8.94   Mbps | 0%
144.0.23.230:8085         | 8                    | 8.78   Mbps | 84%
144.0.23.230:8085         | 19                   | 3.37   Mbps | 89%
144.0.23.4:8085           | 9                    | 9.05   Mbps | 98%
144.0.23.4:8085           | 2                    | 8.76   Mbps | 83%
144.0.23.4:8085           | 22                   | 9.39   Mbps | 99%
144.0.23.80:8085          | 4                    | 1.8    Mbps | 100%
144.0.23.80:8085          | 21                   | 1.05   Mbps | 100%
144.0.23.80:8085          | 15                   | 0.98   Mbps | 100%
144.123.165.186:9901      | 广东卫视                 | 0.49   Mbps | 100%
144.123.165.186:9901      | CCTV6电影              | 0.36   Mbps | 100%
144.52.161.141:9901       | 辽宁卫视                 | 0.37   Mbps | 100%
144.52.161.141:9901       | 广西卫视                 | 0.3    Mbps | 100%
144.52.161.141:9901       | CCTV5+体育赛事           | 0.37   Mbps | 100%
153.0.171.163:9901        | CCTV9                | 3.41   Mbps | 1%
153.0.171.163:9901        | 辽宁卫视                 | 3.51   Mbps | 19%
153.0.171.163:9901        | 浙江卫视                 | 3.55   Mbps | 13%
171.117.226.241:9003      | CCTV10               | 0.32   Mbps | 100%
171.117.226.241:9003      | CCTV6                | 0.48   Mbps | 100%
171.117.226.241:9003      | 青海卫视                 | 0.36   Mbps | 100%
171.14.89.119:9901        | 山东卫视                 | 0.76   Mbps | 100%
171.14.89.119:9901        | 陕西卫视                 | 0.68   Mbps | 100%
171.14.89.119:9901        | 欢腾购物                 | 0.42   Mbps | 100%
171.8.86.180:9901         | 浙江卫视                 | 0.05   Mbps | 100%
171.8.86.180:9901         | 河南都市频道               | 0.06   Mbps | 100%
171.8.86.180:9901         | 河南法制频道               | 0.05   Mbps | 100%
175.11.73.53:9999         | 山西卫视                 | 0.28   Mbps | 71%
175.11.73.53:9999         | 益阳公共                 | 0.14   Mbps | 0%
175.11.73.53:9999         | 重庆卫视                 | 0.24   Mbps | 0%
180.165.12.42:50001       | 河北卫视                 | 0.11   Mbps | 100%
180.165.12.42:50001       | CCTV15               | 0.18   Mbps | 100%
180.165.12.42:50001       | 金鹰卡通                 | 0.15   Mbps | 100%
182.150.31.44:808         | CCTV4中文国际            | 2.95   Mbps | 100%
182.150.31.44:808         | 河南卫视                 | 0.68   Mbps | 100%
182.150.31.44:808         | CCTV11               | 0.86   Mbps | 100%
182.207.218.109:999       | 东南卫视                 | 3.58   Mbps | 0%
182.207.218.109:999       | 辽宁生活                 | 3.15   Mbps | 0%
182.207.218.109:999       | 河南卫视                 | 5.51   Mbps | 67%
182.91.124.224:8801       | CCTV11戏曲             | 1.2    Mbps | 87%
182.91.124.224:8801       | CCTV12社会与法           | 0.19   Mbps | 100%
182.91.124.224:8801       | 河北卫视                 | 0.19   Mbps | 100%
182.91.124.60:8801        | CCTV8电视剧             | 4.85   Mbps | 31%
182.91.124.60:8801        | CCTV13新闻             | 2.99   Mbps | 0%
182.91.124.61:8801        | 新疆卫视                 | 0.42   Mbps | 100%
182.91.124.61:8801        | 河南卫视                 | 0.83   Mbps | 84%
182.91.124.61:8801        | CCTV1综合              | 1.03   Mbps | 47%
183.129.255.66:8480       | CCTV9纪录              | 7.7    Mbps | 8%
183.129.255.66:8480       | CCTV7                | 8.3    Mbps | 0%
183.129.255.66:8480       | 深圳卫视                 | 7.99   Mbps | 0%
183.221.211.20:808        | CCTV6                | 9.24   Mbps | 0%
183.221.211.20:808        | 山西卫视                 | 4.08   Mbps | 0%
183.221.211.20:808        | 山东卫视                 | 9.63   Mbps | 0%
183.223.157.33:9901       | CCTV1综合              | 2.74   Mbps | 0%
183.223.157.33:9901       | 江苏卫视                 | 2.72   Mbps | 0%
183.223.157.33:9901       | CCTV9纪录              | 2.57   Mbps | 0%
183.236.10.36:8083        | 爱电影                  | 2.35   Mbps | 33%
183.236.10.36:8083        | 西藏卫视                 | 0.97   Mbps | 100%
183.236.10.36:8083        | 央视台球                 | 0.5    Mbps | 100%
183.237.71.182:40000      | CCTV10科教             | 3.43   Mbps | 3%
183.237.71.182:40000      | 新疆卫视                 | 1.98   Mbps | 54%
183.237.71.182:40000      | 四川卫视                 | 3.25   Mbps | 3%
218.104.239.114:9901      | 湖北卫视                 | 2.12   Mbps | 100%
218.104.239.114:9901      | 福建教育                 | 2.33   Mbps | 100%
218.104.239.114:9901      | 凤凰资讯                 | 1.92   Mbps | 100%
218.13.170.98:9901        | 四川卫视                 | 0.75   Mbps | 100%
218.13.170.98:9901        | CCTV15音乐             | 1.16   Mbps | 100%
218.19.109.116:808        | 湖北卫视                 | 9.2    Mbps | 79%
218.77.62.245:10999       | 湖南娱乐                 | 3.17   Mbps | 0%
218.77.62.245:10999       | 湖南卫视                 | 6.69   Mbps | 82%
219.137.203.102:9901      | CCTV11戏曲             | 1.69   Mbps | 78%
219.137.203.102:9901      | CCTV14少儿             | 1.18   Mbps | 42%
219.137.203.102:9901      | CCTV15音乐             | 1.17   Mbps | 50%
219.137.203.226:9901      | 广东卫视                 | 2.92   Mbps | 100%
219.137.203.226:9901      | 广东公共                 | 1.15   Mbps | 100%
219.137.203.226:9901      | CCTV5体育              | 1.42   Mbps | 0%
219.139.124.61:8089       | 贵州卫视                 | 5.78   Mbps | 0%
219.139.124.61:8089       | CCTV1综合              | 6.04   Mbps | 0%
219.139.124.61:8089       | 世界地理                 | 7.23   Mbps | 64%
219.140.4.193:7777        | 天津卫视                 | 1.47   Mbps | 100%
219.140.6.129:7777        | 东方卫视                 | 2.37   Mbps | 100%
219.140.6.129:7777        | CCTV1                | 0.18   Mbps | 100%
219.140.6.129:7777        | CCTV10               | 0.18   Mbps | 100%
219.145.93.74:10000       | CCTV3综艺              | 0.04   Mbps | 100%
219.145.93.74:10000       | 重庆卫视                 | 0.05   Mbps | 100%
219.145.93.74:10000       | 上海卫视                 | 0.04   Mbps | 100%
219.159.91.10:8801        | 广西卫视                 | 1.21   Mbps | 100%
219.159.91.10:8801        | 安徽卫视                 | 0.37   Mbps | 100%
221.11.56.114:8888        | CCTV4中文国际            | 2.87   Mbps | 35%
221.11.56.114:8888        | 深圳卫视                 | 2.78   Mbps | 68%
221.11.56.114:8888        | 东南卫视                 | 1.8    Mbps | 0%
221.14.142.118:8000       | CGTN                 | 7.45   Mbps | 60%
221.14.142.118:8000       | 浙江卫视                 | 6.52   Mbps | 5%
221.14.142.118:8000       | 东方卫视                 | 6.0    Mbps | 97%
221.14.142.118:9003       | 电视剧频道                | 7.23   Mbps | 39%
221.14.142.118:9003       | CCTV3综艺              | 6.27   Mbps | 0%
221.14.142.118:9003       | CCTV1                | 5.84   Mbps | 93%
221.226.67.66:8199        | 江苏体育休闲               | 0.91   Mbps | 100%
221.226.67.66:8199        | 重庆卫视                 | 0.99   Mbps | 100%
221.226.67.66:8199        | 贵州卫视                 | 0.9    Mbps | 100%
221.7.175.127:9901        | CCTV8                | 0.15   Mbps | 100%
221.7.175.127:9901        | 安徽卫视                 | 0.18   Mbps | 100%
221.7.175.127:9901        | CCTV6                | 0.15   Mbps | 100%
222.214.208.34:59901      | CCTV12社会与法           | 4.33   Mbps | 20%
222.214.208.34:59901      | 宝宝动画                 | 4.07   Mbps | 12%
222.214.208.34:59901      | CCTV9纪录              | 1.38   Mbps | 100%
222.85.198.92:8000        | 山西卫视                 | 0.68   Mbps | 100%
222.85.198.92:8000        | 江苏卫视                 | 0.87   Mbps | 100%
222.85.198.92:8000        | 山东卫视                 | 0.23   Mbps | 100%
222.85.50.27:6070         | 云南卫视                 | 8.4    Mbps | 85%
222.85.50.27:6070         | 四川卫视                 | 7.82   Mbps | 63%
222.85.50.27:6070         | 河南卫视                 | 7.89   Mbps | 75%
