更新时间,#genre#
CCTV5+,http://112.255.253.148:9001/hls/6/index.m3u8
CCTV5+,http://61.163.179.201:808/hls/25/index.m3u8
CCTV5+,http://180.173.154.233:7777/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://122.114.131.154:4000/hls/16/index.m3u8
CCTV5+,http://171.127.97.162:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://221.11.56.114:8888/hls/16/index.m3u8
CCTV5+,http://119.166.230.171:8082/hls/5/index.m3u8
CCTV5+,http://171.117.226.241:9003/hls/6/index.m3u8
CCTV5+,http://125.40.199.223:8092/hls/17/index.m3u8
CCTV5+,http://122.114.131.154:4018/hls/16/index.m3u8
CCTV5+,http://171.117.87.9:9003/hls/6/index.m3u8
CCTV5+,http://219.140.6.129:7777/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://171.217.136.128:10001/hls/17/index.m3u8
CCTV5+,http://115.150.63.77:9902/tsfile/live/0001_6.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://119.166.226.162:8082/hls/5/index.m3u8
CCTV5+,http://221.232.196.192:7777/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://59.174.116.246:7777/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://59.174.163.252:7777/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://61.240.150.5:81/hls/18/index.m3u8
CCTV5+,http://120.196.235.42:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://222.86.15.171:9999/tsfile/live/0018_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5+,http://59.175.155.147:7777/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://59.174.119.165:7777/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://221.232.196.240:7777/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://120.198.95.220:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&down=1
CCTV5+,http://124.88.238.50:81/hls/6/index.m3u8
CCTV5+,http://124.88.238.50:82/hls/6/index.m3u8
CCTV5+,http://183.223.157.33:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://122.114.131.154:4001/hls/16/index.m3u8
CCTV5+,http://221.232.199.156:7777/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://59.175.155.185:7777/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://221.232.198.212:7777/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://119.36.6.89:1111/hls/17/index.m3u8
CCTV5+,http://221.226.67.66:8199/hls/14/index.m3u8
CCTV5+,http://124.93.18.133:81/hls/18/index.m3u8
CCTV5+,http://124.93.18.236:81/hls/18/index.m3u8
CCTV5+,http://124.93.18.135:81/hls/18/index.m3u8
CCTV5+,http://124.93.18.132:81/hls/18/index.m3u8
CCTV5+,http://182.150.31.44:808/hls/19/index.m3u8
CCTV5+,http://124.93.18.134:81/hls/18/index.m3u8
CCTV5+,http://221.232.196.166:7777/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://112.123.243.37:50085/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5+,http://61.184.46.85:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://153.0.171.163:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
