======================================================================
IPTV 酒店源流量测试报告 (2026-03-30 10:05:09)
======================================================================
服务器 (IP:Port)             | 频道名称                 | 平均码率       | 稳定性
119.166.230.171:8082      | 四川卫视                 | 6.21   Mbps | 0%
119.166.230.171:8082      | CCTV9                | 2.61   Mbps | 100%
119.166.230.171:8082      | QTV1                 | 4.07   Mbps | 79%
119.36.6.89:1111          | CHC家庭影院              | 1.0    Mbps | 100%
119.36.6.89:1111          | 浙江卫视                 | 0.67   Mbps | 100%
119.36.6.89:1111          | 第一剧场                 | 1.23   Mbps | 100%
119.39.198.130:808        | CCTV7国防军事            | 3.69   Mbps | 0%
119.39.198.130:808        | 江苏卫视                 | 3.76   Mbps | 0%
119.39.198.130:808        | CCTV14少儿             | 2.88   Mbps | 87%
119.39.198.50:808         | 辽宁卫视                 | 3.86   Mbps | 88%
119.39.198.50:808         | 湖南经视                 | 3.86   Mbps | 64%
119.39.198.50:808         | CCTV9纪录              | 2.89   Mbps | 86%
119.39.9.8:9901           | CCTV11戏曲             | 3.82   Mbps | 0%
119.39.9.8:9901           | CCTV15音乐             | 3.7    Mbps | 0%
119.39.9.8:9901           | CCTV2财经              | 3.69   Mbps | 0%
120.196.235.42:9901       | 贵州卫视                 | 0.31   Mbps | 100%
120.196.235.42:9901       | 梅县1                  | 0.28   Mbps | 100%
120.196.235.42:9901       | 广东珠江                 | 0.18   Mbps | 100%
120.198.95.220:9901       | 广东南方购物               | 3.05   Mbps | 16%
120.198.95.220:9901       | CCTV9                | 4.47   Mbps | 89%
120.198.95.220:9901       | 少儿卫视                 | 2.12   Mbps | 75%
120.202.94.181:9446       | 湖北卫视                 | 1.42   Mbps | 100%
120.202.94.181:9446       | CCTV2财经              | 1.86   Mbps | 100%
120.202.94.181:9446       | CCTV5体育              | 1.36   Mbps | 100%
120.209.208.163:5080      | Q亳州农村                | 4.99   Mbps | 5%
120.209.208.163:5080      | Q亳州新闻                | 2.74   Mbps | 73%
120.224.84.170:8085       | 深圳卫视                 | 9.81   Mbps | 98%
120.224.84.170:8085       | 湖南卫视                 | 9.53   Mbps | 87%
120.224.84.170:8085       | 河南卫视                 | 9.23   Mbps | 0%
